date,ree_hidraulica_value,ree_hidraulica_pct,ree_hidroeolica_value,ree_hidroeolica_pct,ree_eolica_value,ree_eolica_pct,ree_solar_fotovoltaica_value,ree_solar_fotovoltaica_pct,ree_otras_renovables_value,ree_otras_renovables_pct,ree_generacion_renovable_value,temp_avg_c,temp_max_c,temp_min_c,pressure_avg_hpa,dew_point_avg_c,precip_intensity_avg_mm,rain_daily_mm,humidity_avg_pct,wind_dir_avg_deg,wind_dir_max_deg,wind_dir_sdev_deg,wind_speed_avg_ms,wind_speed_max_ms,wind_speed_sdev_ms,canarias_weather_municipality_count,canarias_weather_station_count,weather_data_source
2020-01-01,9.464,0.0062699912283723,25.172,0.0166766926458779,800.411,0.5302800030740447,646.532,0.4283336822550768,27.833,0.018439630796628,1509.412,14.883183809523809,18.52429,11.472631428571429,980.9961931372549,5.015587142857143,0.00035714285714285573,0.008823529411764707,54.245018095238095,135.96132488902498,277.95714285714286,53.0807307472937,2.7116857142857143,12.354285714285714,0.9240659116929277,70,72,canarias_observed_plus_open_meteo_missing_aggregated
2020-01-02,9.049,0.0054537937285892,21.048,0.0126855398827877,1065.893,0.6424091677254022,540.485,0.3257480056798046,22.737,0.0137034929834162,1659.212,13.939469523809525,16.858505714285712,11.288395714285713,981.2139406862744,4.456812380952381,0.0,0.0,55.96767333333333,151.50413195478276,276.62857142857143,51.336195463616825,2.5392988095238094,11.322285714285716,0.8250342927512038,70,72,canarias_observed_plus_open_meteo_missing_aggregated
2020-01-03,9.306,0.00376266198834,21.957,0.0088777959679757,1740.264,0.7036347735306878,674.659,0.2727824816668277,27.063,0.0109422868461687,2473.249,13.896962380952381,17.322287142857142,10.851391428571429,982.4301107843137,4.485771428571429,0.0,0.0,56.27729857142857,127.02076321740932,244.4,49.44549120891506,2.8624321428571426,12.190857142857142,0.8761565692881405,70,72,canarias_observed_plus_open_meteo_missing_aggregated
2020-01-04,9.965,0.0032382683047462,14.807,0.0048117449862897,2372.115,0.770852465600914,653.131,0.2122441963017773,27.244,0.0088533248062725,3077.262,14.083241428571428,17.757345714285716,10.99156142857143,982.8299828431373,7.415265714285715,0.0,0.0,66.7545619047619,110.89300325934845,243.7,44.66497460882469,2.813384761904762,11.838714285714286,0.7863698465309348,70,72,canarias_observed_plus_open_meteo_missing_aggregated
2020-01-05,9.961,0.002880899213067,20.221,0.0058482745695642,2846.544,0.8232713953981388,552.753,0.159866045850866,28.122,0.0081333849683639,3457.601,14.266304285714286,17.67928285714286,11.219512857142858,981.222906372549,9.247790952380953,0.0030952380952380828,0.07647058823529412,73.36077714285715,81.245923078698,223.27142857142857,43.418783960525154,2.818455,11.335857142857142,0.7246231881077353,70,72,canarias_observed_plus_open_meteo_missing_aggregated
2020-01-06,9.894,0.0024833445988258,48.745,0.0122347516140861,3331.844,0.8362762079573951,566.17,0.1421058430884634,27.49,0.0068998527412294,3984.143,14.52928619047619,17.368244285714287,12.130212857142858,980.7229504901961,9.483964285714285,0.06594666666666665,1.6073529411764707,73.11402761904762,76.72132116880776,273.6857142857143,57.8203112625273,3.492242619047619,15.104571428571427,1.1041159225355748,70,72,canarias_observed_plus_open_meteo_missing_aggregated
2020-01-07,9.916,0.0023093327458306,57.543,0.0134011631901303,3587.06,0.8353887776582538,611.882,0.1425009216603813,27.48,0.0063998047454039,4293.880999999999,14.425151904761904,17.02485857142857,12.409145714285716,980.6349147058825,9.57335619047619,0.04677999999999998,1.0999999999999999,73.8329738095238,90.26594738063315,206.45714285714286,31.50634370727478,3.3780247619047614,15.110000000000001,0.9816412383170077,70,72,canarias_observed_plus_open_meteo_missing_aggregated
2020-01-08,9.907,0.0023394754304308,51.217,0.0120945708206701,3544.093,0.8369151606603521,600.055,0.1416991954584847,29.438,0.006951597630062,4234.71,14.26948619047619,17.174794285714285,11.949514285714287,982.076112254902,9.204541904761905,0.019499999999999983,0.4491176470588235,72.88648285714285,67.05904471367718,211.9142857142857,34.39179796138978,3.2663383333333336,13.268142857142857,0.832287225516276,70,72,canarias_observed_plus_open_meteo_missing_aggregated
2020-01-09,9.868,0.0015865890457827,83.063,0.0133549701975936,5454.355,0.8769578328749996,642.631,0.1033229940292287,29.715,0.0047776138523951,6219.632,14.574851904761905,17.15917142857143,12.475244285714286,982.8921446078431,9.19426761904762,0.016336190476190466,0.3847058823529412,71.25925857142857,72.177387212696,155.5142857142857,19.65735435015093,3.838035238095238,15.251,0.9576611259883457,70,72,canarias_observed_plus_open_meteo_missing_aggregated
2020-01-10,9.946,0.0014927037463322,83.152,0.0124795195973271,6004.799,0.9012051038881884,537.653,0.0806913982834057,27.527,0.0041312744847463,6663.077,15.213319047619049,17.646377142857144,13.364591428571428,982.6041093137255,11.661539523809523,0.09462666666666664,2.2241176470588235,80.36372714285714,82.58084072655537,201.25714285714287,34.31453336443775,3.700681904761905,15.199285714285715,0.8893447723262161,70,72,canarias_observed_plus_open_meteo_missing_aggregated
