sector,baseline,split,MAE,RMSE,R2,MAPE,WMAPE
total,lag_1d,baseline_lag_1d,10.60043031905084,38.33885380062478,0.9931365014826588,4.030277835030927,4.080508741404972
total,lag_7d,baseline_lag_7d,7.706108378926662,24.03443675357245,0.9973026631080483,4.034953510688241,2.966374161802887
total,rolling_7d_mean,baseline_rolling_7d_mean,11.071223950328887,33.44139108965637,0.9947780108605827,4.441146006136242,4.261735113354737
residencial,lag_1d,baseline_lag_1d,1.6445647630171514,5.2060343924534225,0.9990593135614941,2.329737144017159,1.806131039938364
residencial,lag_7d,baseline_lag_7d,2.120646708059261,5.577620612748796,0.9989202362127361,3.20818251267882,2.3289845011284585
residencial,rolling_7d_mean,baseline_rolling_7d_mean,1.8748411332320474,5.2686169438501,0.9990365613478139,2.6815098453890274,2.0590303537035615
servicios,lag_1d,baseline_lag_1d,7.833303620827443,28.83129230735894,0.9894852397028944,5.80741109165439,4.981478393556522
servicios,lag_7d,baseline_lag_7d,5.501147722382738,17.37699084672234,0.9961803787322778,5.568477674545092,3.498376910343426
servicios,rolling_7d_mean,baseline_rolling_7d_mean,7.7543473640762635,24.083675423648387,0.9926630309126161,6.075831691952951,4.931267281351406
industria,lag_1d,baseline_lag_1d,2.5133073092764495,9.906048525388346,0.9023967406792226,24.947967606929954,21.894909871538147
industria,lag_7d,baseline_lag_7d,1.6502154668961702,7.385018194890098,0.9457541451314092,15.919066238074485,14.376005187647213
industria,rolling_7d_mean,baseline_rolling_7d_mean,2.7617685673888417,8.789695435493682,0.9231558037758198,30.356131459773533,24.05940317996128
