baseline,split,MAE,RMSE,R2,MAPE,WMAPE
lag_1d,baseline_lag_1d,1327.769897755611,1746.9196677099703,0.5744166823598604,67.8994878144376,34.064992856598025
rolling_3d_mean,baseline_rolling_3d_mean,1731.8873466334167,2211.1198385145053,0.31819012133778524,101.05051249632287,44.432947449121016
rolling_7d_mean,baseline_rolling_7d_mean,1950.1069697185605,2438.938960002616,0.1704537783953186,141.79555738735587,50.0315454547923
