split,MAE,RMSE,R2,MAPE,WMAPE,modelo
test,698.7433027519763,905.731001102447,0.8855970580247373,41.36608346572317,17.92681522384001,Ridge
test,653.7799942203035,853.1892977601167,0.8984851621449939,29.818055412079065,16.77324577891623,HGB
