split,MAE,RMSE,R2,MAPE,WMAPE,modelo
train,598.8631893393514,769.5092140360508,0.90334651278275,43.71123480833352,17.30082094256512,Ridge
validation,664.3397580652961,851.2717525239468,0.9040493917338759,48.70883522806418,18.558316912820207,Ridge
test,698.7433027519763,905.731001102447,0.8855970580247373,41.36608346572317,17.92681522384001,Ridge
train,249.16585139818991,350.82685090143895,0.9799102038825998,16.602671910213495,7.198261400566955,HGB
validation,554.516649024639,749.2909075761352,0.9256617706890083,33.85265030287443,15.490410713945076,HGB
test,653.7799942203035,853.1892977601167,0.8984851621449939,29.818055412079065,16.77324577891623,HGB
